city,year,month,monthly_tmax
Sydney,2006,1,25.58
Sydney,2006,2,26.34
Sydney,2006,3,24.96
Sydney,2006,4,22.39
Sydney,2006,5,18.54
Sydney,2006,6,15.18
Sydney,2006,7,15.84
Sydney,2006,8,17.22
Sydney,2006,9,20.29
Sydney,2006,10,21.86
Sydney,2006,11,23.06
Sydney,2006,12,23.1
Sydney,2007,1,25.73
Sydney,2007,2,24.68
Sydney,2007,3,24.46
Sydney,2007,4,21.32
Sydney,2007,5,20.4
Sydney,2007,6,15.03
Sydney,2007,7,14.92
Sydney,2007,8,17.79
Sydney,2007,9,18.7
Sydney,2007,10,23.01
Sydney,2007,11,21.59
Sydney,2007,12,23.05
Sydney,2008,1,24.71
Sydney,2008,2,22.66
Sydney,2008,3,23.17
Sydney,2008,4,19.52
Sydney,2008,5,18.45
Sydney,2008,6,17.06
Sydney,2008,7,15.46
Sydney,2008,8,15.43
Sydney,2008,9,19.3
Sydney,2008,10,21.6
Sydney,2008,11,22.09
Sydney,2008,12,24.23
Sydney,2009,1,26.54
Sydney,2009,2,24.43
Sydney,2009,3,24.14
Sydney,2009,4,20.64
Sydney,2009,5,18.53
Sydney,2009,6,16.52
Sydney,2009,7,16.06
Sydney,2009,8,19.02
Sydney,2009,9,20.97
Sydney,2009,10,19.89
Sydney,2009,11,25.07
Sydney,2009,12,24.83
Sydney,2010,1,26.06
Sydney,2010,2,25.34
Sydney,2010,3,24.3
Sydney,2010,4,22.25
Sydney,2010,5,18.79
Sydney,2010,6,15.81
Sydney,2010,7,15.48
Sydney,2010,8,16.11
Sydney,2010,9,18.75
Sydney,2010,10,20.31
Sydney,2010,11,21.74
Sydney,2010,12,24.02
Sydney,2011,1,25.55
Sydney,2011,2,26.79
Sydney,2011,3,24.05
Sydney,2011,4,21.01
Sydney,2011,5,17.5
Sydney,2011,6,16.24
Sydney,2011,7,15.1
Sydney,2011,8,17.37
Sydney,2011,9,19.33
Sydney,2011,10,19.84
Sydney,2011,11,23.58
